                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.90771,                0.62673,                 1.2926,                      1,                0.63658,                0.78733,                0.39826,                 1.8131,                 1.5131,                 1.8968,               0.002476,               0.002476,               0.002476
                     78,                0.91162,                0.64394,                 1.2957,                0.93596,                   0.72,                0.79431,                 0.4416,                  1.763,                  1.522,                 1.8291,               0.002377,               0.002377,               0.002377
                     79,                0.89563,                0.62757,                 1.2798,                0.98742,                   0.56,                0.69401,                0.36328,                 1.8927,                 1.6098,                 2.0781,               0.002278,               0.002278,               0.002278
                     80,                 0.8943,                 0.6142,                 1.2759,                0.96809,                   0.64,                0.77804,                0.39105,                  1.887,                  1.314,                  2.075,               0.002179,               0.002179,               0.002179
                     81,                0.87563,                0.59608,                 1.2617,                0.92454,                   0.68,                0.78811,                0.41965,                 1.7564,                 1.4504,                  1.867,                0.00208,                0.00208,                0.00208
                     82,                0.88306,                0.61409,                 1.2601,                 0.9797,                   0.68,                0.76309,                0.38228,                 1.9462,                 1.5154,                 2.1433,               0.001981,               0.001981,               0.001981
                     83,                0.88149,                0.61278,                 1.2761,                0.71369,                   0.72,                0.78273,                0.43355,                 1.7136,                 1.1312,                 1.8899,               0.001882,               0.001882,               0.001882
                     84,                0.85491,                0.59541,                 1.2535,                0.96455,                   0.52,                0.72871,                0.38637,                 1.8994,                 1.4524,                 1.9948,               0.001783,               0.001783,               0.001783
                     85,                0.84457,                0.58256,                 1.2447,                0.66212,                   0.72,                0.70225,                0.39957,                 1.7249,                 1.7915,                 1.8583,               0.001684,               0.001684,               0.001684
                     86,                0.83681,                0.57217,                 1.2364,                      1,                0.63631,                0.77399,                0.43701,                 1.6592,                 1.3872,                 1.8157,               0.001585,               0.001585,               0.001585
                     87,                0.83105,                0.57831,                  1.236,                 0.8648,                    0.6,                0.73316,                 0.4008,                 1.6879,                 1.5578,                 1.8563,               0.001486,               0.001486,               0.001486
                     88,                0.82166,                0.57416,                 1.2355,                0.71178,                   0.72,                0.74687,                0.43349,                 1.6627,                  1.523,                 1.8361,               0.001387,               0.001387,               0.001387
                     89,                0.80192,                0.56089,                 1.2134,                0.96471,                   0.52,                0.67522,                0.35706,                 1.8534,                  1.965,                 2.0805,               0.001288,               0.001288,               0.001288
                     90,                0.79223,                 0.5505,                 1.2063,                0.97599,                   0.52,                0.70201,                0.41245,                  1.703,                 1.7998,                 1.9931,               0.001189,               0.001189,               0.001189
                     91,                0.79054,                0.54352,                  1.203,                0.96583,                   0.52,                0.71475,                0.38234,                 1.9714,                  1.449,                 2.2104,                0.00109,                0.00109,                0.00109
                     92,                0.79737,                0.55526,                 1.2114,                0.95763,                   0.52,                0.68312,                0.38147,                 1.8858,                 1.5525,                 2.1374,               0.000991,               0.000991,               0.000991
                     93,                0.78101,                0.54635,                 1.2072,                0.87178,                    0.6,                0.67518,                0.38289,                 1.8562,                 1.4928,                   2.15,               0.000892,               0.000892,               0.000892
                     94,                0.78281,                0.54249,                 1.1985,                0.97282,                   0.52,                0.68333,                0.38755,                 1.8862,                 1.8864,                 2.1176,               0.000793,               0.000793,               0.000793
                     95,                0.76393,                0.52573,                 1.1903,                0.86896,                    0.6,                0.74216,                0.40325,                  1.816,                 1.8369,                 2.0138,               0.000694,               0.000694,               0.000694
                     96,                0.76132,                0.52085,                 1.1845,                 0.7145,                   0.72,                 0.7213,                0.39816,                 1.7611,                 1.8564,                 1.9963,               0.000595,               0.000595,               0.000595
                     97,                0.76424,                0.53135,                 1.1899,                0.81793,                    0.6,                0.71744,                0.40091,                 1.7961,                 1.8444,                 2.0404,               0.000496,               0.000496,               0.000496
                     98,                0.74369,                0.52614,                 1.1776,                0.68861,                   0.68,                0.72112,                0.39445,                 1.8155,                  1.871,                 2.0444,               0.000397,               0.000397,               0.000397
                     99,                0.74811,                0.51701,                 1.1743,                0.71832,                0.71423,                0.72419,                0.39524,                 1.8011,                 1.8064,                 2.0383,               0.000298,               0.000298,               0.000298
